pygame 2.0.1 (SDL 2.0.14, Python 3.9.1)
Hello from the pygame community. https://www.pygame.org/contribute.html
Generation 29: ['NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 30: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 31: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 32: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L']. Fitness: 45.1
Generation 33: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 34: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 35: ['NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'R', 'R', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'D', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 36: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 37: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 38: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
